"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Tyler Olson","CLE","RP","30.8","38","1","1","6","4.09","1.37","14","29","13","6","42","2","1"
"Shane Carle","ATL","RP","42.5","32","1","2","12","4.07","1.35","19","39","18","5","39","2","3"
"Sammy Solis","WSH","RP","33.3","39","1","1","10","4.93","1.47","18","33","16","5","41","2","2"
"Nick Wittgren","CLE","RP","36.3","35","1","1","5","4.16","1.38","17","37","14","5","39","2","2"
"Jefry Rodriguez","CLE","SP,RP","36.1","27","1","0","0","4.91","1.44","20","32","20","7","17","2","2"
"Brandon Kintzler","CHC","RP","50.3","34","1","2","17","4.07","1.37","23","53","16","5","54","2","3"
"James Pazos","PHI","RP","45.7","47","1","3","14","3.61","1.33","18","43","18","5","50","2","3"
"Chasen Shreve","STL","RP","41.0","50","1","1","6","4.39","1.44","20","38","21","7","43","3","3"
"Adam Morgan","PHI","RP","47.3","51","1","2","13","4.38","1.42","23","50","18","7","45","2","3"
"Tony Barnette","CHC","RP","29.5","28","0","0","0","3.36","1.24","11","28","9","2","20","2","2"
"Austin Pruitt","TB","RP","53.1","40","1","0","0","4.20","1.30","25","57","13","7","32","3","3"
"Sam Gaviglio","TOR","SP,RP","67.4","52","0","0","0","4.81","1.37","36","73","19","12","37","3","5"
"Gabriel Moya","MIN","RP","39.0","38","0","0","2","4.27","1.30","19","37","14","6","43","3","2"
"Luis Garcia","LAA","RP","38.8","40","1","2","15","4.18","1.41","18","39","16","5","49","2","2"
"Tim Mayza","TOR","RP","45.0","55","1","1","3","4.20","1.46","21","47","19","7","53","3","2"
"Derek Law","SF","RP","30.6","29","1","0","0","4.93","1.49","17","33","12","3","18","2","2"
"Chad Bettis","COL","SP,RP","64.5","45","0","0","1","4.88","1.41","35","69","22","7","38","3","4"
"Jake Diekman","","RP","47.0","60","1","0","0","3.88","1.43","20","40","27","4","49","2","2"
"Matt Koch","ARI","SP,RP","39.5","23","0","0","0","5.30","1.37","23","44","11","6","13","2","4"
"Jeffrey Wendelken","OAK","RP","23.4","26","0","0","2","3.72","1.28","10","20","10","4","29","1","1"
"Giovanny Gallegos","STL","RP","27.5","32","1","0","0","3.27","1.15","10","24","8","5","25","2","2"
"Zach Rosscup","SEA","RP","28.0","39","1","0","0","3.96","1.24","12","25","10","4","30","2","2"
"Brandon Workman","BOS","RP","38.5","37","1","1","6","4.15","1.33","18","37","15","5","35","2","2"
"Sam Freeman","ATL","RP","43.8","48","1","1","11","3.96","1.50","19","39","26","4","47","2","3"
"David Phelps","TOR","SP,RP","42.3","49","0","1","8","3.69","1.39","17","39","19","5","37","1","3"
"Tim Hill","KC","RP","45.8","45","4","2","16","4.13","1.39","21","47","16","5","69","2","3"
"J.T. Chargois","LAD","RP","24.0","27","1","1","4","3.47","1.31","9","21","11","3","32","2","1"
"Chris Martin","TEX","RP","50.3","48","3","1","11","4.29","1.29","24","56","9","7","52","2","3"
"Matt Grace","WSH","RP","48.8","39","1","1","7","3.55","1.29","19","49","14","5","49","2","3"
"Hansel Robles","LAA","RP","57.8","62","1","2","11","4.44","1.43","29","55","28","9","54","3","4"
"Roenis Elias","SEA","RP","53.0","40","1","0","0","3.78","1.36","22","52","20","8","46","3","3"
"Adam Warren","","RP","55.0","52","1","0","0","3.60","1.21","22","47","20","7","50","4","3"
"Jon Edwards","CLE","RP","32.0","38","0","0","0","4.08","1.31","15","28","14","4","33","2","2"
"Luis Avilan","NYM","RP","45.5","52","1","1","7","3.26","1.36","17","41","22","4","66","2","3"
"Sal Romano","CIN","SP,RP","41.5","31","1","0","0","4.77","1.42","22","44","15","5","20","2","2"
"Adam Kolarek","TB","RP","39.1","30","1","1","10","3.80","1.37","17","42","12","4","50","2","2"
"Neil Ramirez","CLE","RP","46.3","60","1","2","15","5.12","1.42","26","43","23","9","52","1","3"
"Drew VerHagen","DET","RP","42.8","39","0","1","4","4.47","1.32","21","41","15","7","44","2","2"
"Xavier Cedeno","MIL","RP","29.5","29","1","0","0","3.20","1.29","11","26","13","3","61","2","1"
